id,name,city,state,latitude,longitude,category,stone_type,status
5,Adpur Dheti Pag,,,,,,,completed
6,Asha Life Mission,,,,,,,completed
7,Bhamriya,,,,,,,completed
8,Devilaya,,,,,,,completed
9,Dhola,,,,,,,completed
10,Digambar Jain Derasar,Baroda,,,,,,completed
11,Gelmata,Rajkot,,,,,,completed
12,Gulbarga,,,,,,,completed
13,Hastgiri,,,,,,,completed
14,Jaliya,,,,,,,completed
15,Jambudip,,,,,,,completed
16,Kachchhi Bhavan,,,,,,,completed
17,Kachhi Bhavan,Junagadh,,,,,,completed
18,Khajuri,,,,,,,completed
19,Kotadi,,,,,,,completed
20,Liliya,,,,,,,completed
21,Malav,,,,,,,completed
22,Osval,Palitana,,,,,,completed
23,Rampara,,,,,,,completed
24,RRD,Limbdi,,,,,,completed
25,Taleti,,,,,,,completed
